,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
0,4,0,0,0.0,512.0,0.0,13800,497.25,618.5,13800,780
1,8,0,0,0.0,494.0,0.0,600,506.7,595.75,13800,800
2,0,0,0,0.0,0.0,0.0,13800,461.5,575.25,13800,820
3,0,0,0,0.0,0.0,0.0,13800,443.65,552.05,13800,840
4,0,0,0,0.0,0.0,0.0,13800,425.5,530.6,13800,860
5,0,0,0,0.0,0.0,0.0,13800,407.7,507.9,13800,880
6,3,0,1,0.0,438.0,63.0,600,414.6,460.35,600,900
7,0,0,0,0.0,0.0,0.0,13800,372.0,459.6,13800,920
8,0,0,0,0.0,0.0,0.0,13800,354.85,437.3,13800,940
9,0,0,0,0.0,0.0,0.0,13800,337.4,440.0,13800,960
10,0,0,0,0.0,0.0,0.0,13800,326.25,417.25,13800,980
11,27,0,0,0.0,305.45,0.0,3000,323.05,375.25,3000,1000
12,0,0,0,0.0,0.0,0.0,13800,289.5,359.5,13800,1020
13,9,0,0,0.0,358.0,0.0,13800,271.55,336.25,13800,1040
14,0,0,0,0.0,0.0,0.0,13800,253.45,314.5,13800,1060
15,0,0,0,0.0,0.0,0.0,3000,242.0,306.8,13800,1080
16,16,0,0,0.0,246.0,0.0,600,234.05,260.15,600,1100
17,0,0,0,0.0,0.0,0.0,3000,205.95,249.4,3000,1120
18,0,0,0,0.0,148.0,-0.5,13800,184.2,236.0,3000,1140
19,5,-1,1,0.0,188.4,-35.75,600,189.0,194.0,600,1160
20,2,0,0,0.0,175.75,0.15000000000000568,1800,169.65,178.5,6600,1180
21,178,-19,28,48.27,150.0,6.050000000000011,600,150.6,154.6,1200,1200
22,47,0,1,0.0,110.6,-8.350000000000009,1200,129.95,142.75,600,1220
23,57,-1,6,0.0,97.35,-2.9000000000000057,600,107.7,126.4,600,1240
24,193,-33,65,40.25,92.1,10.399999999999991,1800,91.35,93.9,5400,1260
25,298,-3,29,28.73,70.9,7.250000000000007,600,66.85,78.95,3600,1280
26,557,-59,536,32.78,55.0,4.100000000000001,600,55.05,57.0,600,1300
27,212,-25,1080,31.1,39.0,2.6000000000000014,1200,38.25,41.7,6600,1320
28,677,78,7024,29.76,25.0,0.8000000000000007,600,24.15,25.5,600,1340
29,1045,-40,6643,27.75,14.45,-1.0,1200,14.4,14.7,1200,1360
30,1291,-153,5295,28.15,8.0,-1.75,600,7.95,8.4,1200,1380
31,2668,-469,6938,29.4,4.4,-1.9499999999999993,600,4.45,4.5,1800,1400
32,817,-23,2693,30.88,2.55,-1.6000000000000005,3600,2.5,2.65,600,1420
33,822,-128,1518,32.36,1.45,-1.2500000000000002,4200,1.4,1.45,600,1440
34,693,-139,814,35.62,1.1,-0.7999999999999998,10800,1.0,1.1,1200,1460
35,340,-150,357,36.98,0.65,-0.7499999999999999,1200,0.65,0.8,600,1480
36,900,-88,373,41.88,0.7,-0.6500000000000001,8400,0.7,0.85,1800,1500
37,91,-8,48,48.96,1.0,-0.1499999999999999,9000,0.5,1.0,1200,1520
38,66,-11,38,43.74,0.25,-0.8999999999999999,600,0.25,1.5,12000,1540
39,67,-8,31,53.29,0.6,-0.050000000000000044,4800,0.25,0.55,600,1560
40,14,1,1,53.2,0.35,-0.15000000000000002,1200,0.3,0.8,1200,1580
41,202,-25,39,54.55,0.25,-0.25,600,0.35,0.4,1200,1600
42,0,0,0,0.0,0.0,0.0,2400,0.15,1.2,2400,1620
