,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
0,0,0,0,0.0,0.0,0.0,3600,0.1,0.0,0,780
1,2,0,0,0.0,0.2,0.0,4200,0.1,0.5,600,800
2,0,0,0,0.0,0.0,0.0,3600,0.1,2.4,13200,820
3,0,0,0,0.0,0.0,0.0,3600,0.1,1.6,12000,840
4,0,0,0,0.0,0.0,0.0,3600,0.1,3.0,1200,860
5,0,0,0,0.0,0.0,0.0,3600,0.1,3.0,1200,880
6,2,0,0,0.0,0.95,0.0,3600,0.1,1.9,600,900
7,0,0,0,0.0,0.0,0.0,3600,0.1,0.0,0,920
8,0,0,0,0.0,0.0,0.0,3600,0.1,0.0,0,940
9,0,0,0,0.0,0.0,0.0,3600,0.1,0.0,0,960
10,0,0,0,0.0,0.0,0.0,3600,0.1,0.0,0,980
11,101,0,7,92.36,0.25,-0.44999999999999996,600,0.25,0.3,5400,1000
12,0,0,0,0.0,0.0,0.0,3600,0.15,2.2,12000,1020
13,0,0,0,0.0,0.0,0.0,3600,0.15,1.85,12000,1040
14,3,0,0,0.0,1.3,0.0,3600,0.15,2.45,600,1060
15,0,0,0,0.0,0.0,0.0,3600,0.15,0.0,0,1080
16,229,-4,28,74.12,0.65,-0.45000000000000007,9600,0.5,0.65,600,1100
17,0,0,0,0.0,0.0,0.0,3000,0.25,1.65,12000,1120
18,246,6,15,65.92,0.9,-0.5499999999999999,2400,0.6,1.0,600,1140
19,384,-1,22,61.11,1.0,-1.2000000000000002,2400,1.0,1.35,600,1160
20,353,-8,67,55.68,1.05,-1.3499999999999999,3000,1.05,1.7,600,1180
21,3114,25,693,51.73,1.3,-1.1500000000000001,600,1.2,1.35,600,1200
22,543,-40,410,44.25,1.1,-1.65,600,0.6,2.8,600,1220
23,506,93,1033,39.87,1.35,-1.6,3000,1.3,1.35,1800,1240
24,718,14,1982,34.71,1.55,-2.55,2400,1.45,1.65,600,1260
25,511,-141,3199,31.58,2.4,-3.2500000000000004,600,2.1,2.4,600,1280
26,835,-70,5457,28.81,3.75,-5.199999999999999,600,3.9,4.0,600,1300
27,413,-283,4138,27.2,6.9,-7.4,600,7.3,7.75,600,1320
28,613,166,5084,26.35,13.75,-8.3,600,13.25,14.0,1800,1340
29,437,-73,993,24.82,23.0,-9.75,600,13.9,23.9,600,1360
30,229,-34,417,30.58,40.0,-6.899999999999999,600,29.55,38.45,3600,1380
31,347,-17,93,24.19,53.0,-9.350000000000001,600,48.85,52.75,1800,1400
32,94,-17,49,27.19,72.05,-5.75,600,70.2,72.75,1800,1420
33,17,1,5,38.83,93.6,-8.050000000000011,1800,88.15,92.1,1800,1440
34,10,0,2,75.02,126.1,4.1499999999999915,2400,106.95,113.25,600,1460
35,0,0,0,0.0,0.0,0.0,3000,121.7,147.65,4800,1480
36,9,0,0,0.0,159.75,0.0,3000,142.4,159.5,1800,1500
37,0,0,0,0.0,0.0,0.0,1800,155.25,183.35,1800,1520
38,0,0,0,0.0,0.0,0.0,13800,127.1,237.2,13800,1540
39,0,0,0,0.0,0.0,0.0,3000,202.5,258.95,13800,1560
40,0,0,0,0.0,0.0,0.0,13800,152.25,257.75,3000,1580
41,0,0,0,0.0,0.0,0.0,13800,164.0,303.7,13800,1600
42,0,0,0,0.0,0.0,0.0,13800,233.0,302.15,13800,1620
