,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
0,1,0,0,0.0,892.45,0.0,6900,888.1,1091.1,6900,2060
1,0,0,0,0.0,0.0,0.0,6900,870.35,1069.05,6900,2080
2,0,0,0,0.0,0.0,0.0,6900,852.9,1046.1,6900,2100
3,0,0,0,0.0,0.0,0.0,6900,833.55,1023.65,6900,2120
4,0,0,0,0.0,0.0,0.0,6900,816.1,1054.9,6900,2140
5,0,0,0,0.0,0.0,0.0,6900,798.55,1037.3,6900,2160
6,0,0,0,0.0,0.0,0.0,6900,779.85,990.5,6900,2180
7,0,0,0,0.0,0.0,0.0,6900,762.95,967.85,6900,2200
8,0,0,0,0.0,0.0,0.0,6900,745.45,945.45,6900,2220
9,0,0,0,0.0,0.0,0.0,6900,728.0,922.75,6900,2240
10,0,0,0,0.0,0.0,0.0,6900,710.5,900.15,6900,2260
11,0,0,0,0.0,0.0,0.0,6900,690.6,877.4,6900,2280
12,0,0,0,0.0,0.0,0.0,6900,673.0,854.45,6900,2300
13,0,0,0,0.0,0.0,0.0,6900,671.35,832.15,6900,2320
14,0,0,0,0.0,0.0,0.0,6900,653.65,809.45,6900,2340
15,0,0,0,0.0,0.0,0.0,6900,634.3,786.8,6900,2360
16,0,0,0,0.0,0.0,0.0,6900,618.2,761.0,6900,2380
17,0,0,0,0.0,0.0,0.0,6900,599.35,738.6,6900,2400
18,0,0,0,0.0,0.0,0.0,6900,579.9,717.05,6900,2420
19,0,0,0,0.0,0.0,0.0,6900,563.45,696.05,6900,2440
20,0,0,0,0.0,0.0,0.0,6900,521.05,673.4,6900,2460
21,0,0,0,0.0,0.0,0.0,1500,491.05,671.25,6900,2480
22,5,0,0,0.0,510.0,0.0,1500,506.3,586.8,1500,2500
23,0,0,0,0.0,0.0,0.0,1500,487.15,663.45,1500,2520
24,0,0,0,0.0,0.0,0.0,1500,439.0,630.45,1500,2540
25,0,0,0,0.0,0.0,0.0,1500,419.05,607.35,1500,2560
26,0,0,0,0.0,0.0,0.0,1500,399.45,550.3,6900,2580
27,0,0,0,0.0,0.0,0.0,1500,380.2,561.8,1500,2600
28,0,0,0,0.0,0.0,0.0,1500,363.2,542.25,1500,2620
29,0,0,0,0.0,0.0,0.0,1500,342.9,493.4,6900,2640
30,0,0,0,0.0,0.0,0.0,1500,321.8,499.5,1500,2660
31,4,0,0,0.0,325.0,0.0,1500,325.15,480.05,1500,2680
