,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE
0,0,0,0,0.0,0.0,0.0,5400,0.05,1.8,900,2060
1,0,0,0,0.0,0.0,0.0,5400,0.05,0.0,0,2080
2,0,0,0,0.0,0.0,0.0,9000,0.05,0.0,0,2100
3,0,0,0,0.0,0.0,0.0,9000,0.05,0.0,0,2120
4,0,0,0,0.0,0.0,0.0,9000,0.05,0.0,0,2140
5,0,0,0,0.0,0.0,0.0,9000,0.05,0.0,0,2160
6,0,0,0,0.0,0.0,0.0,9000,0.05,0.0,0,2180
7,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2200
8,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2220
9,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2240
10,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2260
11,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2280
12,0,0,0,0.0,0.0,0.0,9000,0.1,2.9,600,2300
13,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2320
14,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2340
15,0,0,0,0.0,0.0,0.0,9000,0.1,3.0,600,2360
16,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2380
17,19,-10,13,75.34,0.5,-0.30000000000000004,600,0.2,0.5,1200,2400
18,0,0,0,0.0,0.0,0.0,9000,0.1,2.45,6000,2420
19,0,0,0,0.0,0.0,0.0,9000,0.1,1.75,6000,2440
20,0,0,0,0.0,0.0,0.0,9000,0.1,3.0,600,2460
21,0,0,0,0.0,0.0,0.0,9000,0.1,3.0,600,2480
22,127,-14,14,62.25,0.4,0.0,4800,0.4,0.65,300,2500
23,0,0,0,0.0,0.0,0.0,9000,0.1,2.2,6000,2520
24,0,0,0,0.0,0.0,0.0,9000,0.1,2.6,6000,2540
25,1,0,0,0.0,13.5,0.0,300,0.4,2.0,300,2560
26,0,0,0,0.0,0.0,0.0,9000,0.1,0.0,0,2580
27,101,-12,27,49.66,0.3,-0.10000000000000003,300,0.15,0.5,1800,2600
28,8,0,0,0.0,0.6,0.0,3600,0.15,1.5,900,2620
29,1,0,0,0.0,2.55,0.0,300,0.25,0.0,0,2640
30,2,0,0,0.0,0.15,0.0,3600,0.15,0.7,300,2660
31,3,0,0,0.0,6.9,0.0,300,0.3,1.95,6000,2680
32,323,-2,46,44.37,0.8,-1.2499999999999998,300,0.8,1.2,300,2700
33,16,-7,13,41.32,0.7,-2.8,600,0.7,1.5,300,2720
34,14,0,2,43.28,1.4,-1.65,300,1.35,2.0,300,2740
35,18,2,8,43.35,2.0,-1.4500000000000002,300,1.55,3.0,300,2760
